TARGET_FID,Img,target_x,target_y,label,path,no_coor,split
1,00172189-3156-48d7-bb1e-f0a922bc54b8.jpg,0,0,asparagus,data/predata\asparagus\00172189-3156-48d7-bb1e-f0a922bc54b8.jpg,True,val
7,00c5815c-ffc2-4f50-89ec-bc9fe9416be3.jpg,0,-102,asparagus,data/predata\asparagus\00c5815c-ffc2-4f50-89ec-bc9fe9416be3.jpg,False,train
31,0345c3ff-f05a-4f45-9fcc-f9739095b880.jpg,0,0,asparagus,data/predata\asparagus\0345c3ff-f05a-4f45-9fcc-f9739095b880.jpg,True,train
92,0b06797c-691c-4dc4-af17-aebaf5ebd383.jpg,0,0,asparagus,data/predata\asparagus\0b06797c-691c-4dc4-af17-aebaf5ebd383.jpg,True,train
100,0b8d1390-9078-46da-bdc5-3c2a2efa764e.jpg,0,0,asparagus,data/predata\asparagus\0b8d1390-9078-46da-bdc5-3c2a2efa764e.jpg,True,train
112,0d5f2ca7-b809-4ac8-ad7b-ea5c194f86dd.jpg,0,0,asparagus,data/predata\asparagus\0d5f2ca7-b809-4ac8-ad7b-ea5c194f86dd.jpg,True,train
117,0e283b22-13bb-4a6a-9084-ea523745b62d.jpg,0,-128,asparagus,data/predata\asparagus\0e283b22-13bb-4a6a-9084-ea523745b62d.jpg,False,train
122,0eb39563-4f7a-4bb0-8d8b-6b3f5c7f3b6d.jpg,0,-128,asparagus,data/predata\asparagus\0eb39563-4f7a-4bb0-8d8b-6b3f5c7f3b6d.jpg,False,train
124,0ee15a2f-11ea-4122-bb13-a04e91099d0c.jpg,0,0,asparagus,data/predata\asparagus\0ee15a2f-11ea-4122-bb13-a04e91099d0c.jpg,True,train
125,0efc5624-8e36-43ec-bead-891bbf056121.jpg,0,0,asparagus,data/predata\asparagus\0efc5624-8e36-43ec-bead-891bbf056121.jpg,True,train
158,139a4ce5-0154-4a7f-8bf9-abef59a666ee.jpg,0,0,asparagus,data/predata\asparagus\139a4ce5-0154-4a7f-8bf9-abef59a666ee.jpg,True,train
175,159a84ca-eb6d-4b5b-9c0e-d1594130888c.jpg,0,0,asparagus,data/predata\asparagus\159a84ca-eb6d-4b5b-9c0e-d1594130888c.jpg,True,test
180,15d6ed9f-98c4-44f2-9491-018f92c8d40a.jpg,0,-144,asparagus,data/predata\asparagus\15d6ed9f-98c4-44f2-9491-018f92c8d40a.jpg,False,test
187,170d15c1-4b38-4628-bec0-8c2c80ec2d5a.jpg,0,0,asparagus,data/predata\asparagus\170d15c1-4b38-4628-bec0-8c2c80ec2d5a.jpg,True,train
199,184b4d27-0185-43ed-b50b-4949bdd54b44.jpg,0,0,asparagus,data/predata\asparagus\184b4d27-0185-43ed-b50b-4949bdd54b44.jpg,True,train
213,1b52b602-9087-4cd3-99ba-df741b5bf658.jpg,0,0,asparagus,data/predata\asparagus\1b52b602-9087-4cd3-99ba-df741b5bf658.jpg,True,train
227,1cd0cf96-a831-4f70-8534-cfb37436195f.jpg,0,-144,asparagus,data/predata\asparagus\1cd0cf96-a831-4f70-8534-cfb37436195f.jpg,False,train
232,1ddc10a8-a04f-40dd-bcc5-517ab19a8ed1.jpg,0,0,asparagus,data/predata\asparagus\1ddc10a8-a04f-40dd-bcc5-517ab19a8ed1.jpg,True,train
257,21f6c776-63e4-411c-8cbe-b6eef0632342.jpg,0,-144,asparagus,data/predata\asparagus\21f6c776-63e4-411c-8cbe-b6eef0632342.jpg,False,train
